               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.036704,            0.022712,           0.0028314,             0.13846,             0.91938,             0.86902,             0.88985,             0.40535,            0.037603,            0.020766,           0.0034454,             0.14275,           0.0073155,           0.0073155,           0.0073155
                 120,            0.035786,             0.02199,           0.0027999,             0.13553,             0.85853,             0.83746,             0.82847,             0.39227,            0.035096,            0.020225,           0.0048052,             0.13939,           0.0072758,           0.0072758,           0.0072758
                 121,            0.036166,            0.022503,           0.0036399,             0.13618,             0.87964,             0.85825,             0.86228,             0.36105,            0.034143,            0.020227,           0.0044399,             0.13823,           0.0072361,           0.0072361,           0.0072361
                 122,             0.03731,            0.023294,           0.0035299,             0.13695,             0.91987,             0.90167,             0.90648,             0.37238,            0.035836,            0.020181,           0.0036868,             0.13679,           0.0071962,           0.0071962,           0.0071962
                 123,             0.03618,            0.022528,            0.003604,             0.13825,             0.86911,             0.88541,             0.89918,             0.36908,            0.034215,             0.02074,           0.0044937,             0.14105,           0.0071561,           0.0071561,           0.0071561
                 124,            0.035356,            0.022283,            0.003099,             0.13802,             0.88945,             0.92177,             0.93259,              0.3875,             0.03541,            0.021556,           0.0041698,             0.14278,            0.007116,            0.007116,            0.007116
                 125,            0.036698,             0.02321,           0.0030622,             0.13785,             0.89848,              0.8526,             0.87236,             0.35377,            0.038283,            0.020903,           0.0036185,             0.13961,           0.0070757,           0.0070757,           0.0070757
                 126,            0.035372,            0.022824,           0.0033236,             0.13718,             0.89581,             0.88458,              0.8948,             0.35183,            0.035741,            0.020743,            0.003254,             0.13714,           0.0070353,           0.0070353,           0.0070353
                 127,            0.035767,            0.022658,           0.0032679,             0.13682,             0.85085,             0.86052,             0.86613,             0.35709,            0.035277,             0.02045,           0.0057214,             0.13738,           0.0069948,           0.0069948,           0.0069948
                 128,            0.035855,            0.020776,           0.0024498,             0.13415,              0.8774,             0.84665,             0.82524,              0.3189,            0.037103,            0.020249,           0.0035447,             0.13862,           0.0069541,           0.0069541,           0.0069541
                 129,            0.036858,            0.021433,           0.0041696,               0.138,             0.87051,             0.81818,             0.81645,             0.31092,            0.038869,            0.021015,           0.0042058,               0.141,           0.0069134,           0.0069134,           0.0069134
                 130,            0.035013,            0.022899,           0.0032827,              0.1372,             0.91165,             0.82819,             0.88022,             0.34457,            0.038218,            0.021769,           0.0045331,             0.13769,           0.0068726,           0.0068726,           0.0068726
                 131,            0.035404,            0.021442,           0.0031544,              0.1349,             0.90157,             0.83903,             0.86724,             0.38378,            0.035384,             0.02138,            0.004735,             0.14035,           0.0068316,           0.0068316,           0.0068316
                 132,            0.035456,            0.023814,           0.0034516,             0.13541,             0.92935,             0.91634,             0.94141,             0.38249,            0.035911,               0.021,            0.004236,             0.13539,           0.0067906,           0.0067906,           0.0067906
                 133,            0.036375,            0.022364,            0.003711,             0.13509,             0.94318,             0.92705,             0.93948,             0.38465,            0.033312,            0.020665,           0.0033521,             0.13777,           0.0067495,           0.0067495,           0.0067495
                 134,            0.035305,            0.021461,           0.0028652,             0.13515,              0.8166,             0.79486,             0.78657,             0.32878,            0.036635,            0.021075,           0.0043989,             0.14221,           0.0067083,           0.0067083,           0.0067083
